l2_error	h1_semi_error	h2_semi_error
5.75E-07	2.77E-06	3.17E-05
9.66E-09	4.45E-08	9.66E-07
1.54E-10	7.00E-10	3.00E-08
2.42E-12	1.10E-11	9.36E-10
3.11E-14	1.54E-13	2.90E-11
1.23E-14	8.49E-14	1.09E-11
3.29E-14	1.95E-13	5.03E-11
1.01E-13	6.21E-13	1.91E-10
1.26E-13	1.55E-12	7.74E-10
3.27E-13	3.44E-12	3.06E-09
1.92E-12	1.35E-11	1.24E-08
7.21E-12	5.10E-11	4.87E-08
6.33E-12	7.22E-11	1.96E-07
1.05E-10	3.90E-10	7.81E-07
1.65E-10	7.59E-10	3.14E-06
5.37E-10	2.91E-09	1.25E-05
