l2_error	h1_semi_error	h2_semi_error
6.10E-08	2.06E-07	1.58E-06
1.07E-09	3.55E-09	2.59E-08
1.73E-11	5.69E-11	4.09E-10
2.77E-13	9.15E-13	6.49E-12
1.33E-14	7.30E-14	7.40E-12
4.24E-14	3.19E-13	3.04E-11
1.04E-13	4.76E-13	1.27E-10
9.29E-13	3.73E-12	5.03E-10
4.99E-13	3.37E-12	2.00E-09
4.66E-12	1.99E-11	8.19E-09
6.51E-12	4.38E-11	3.26E-08
2.03E-11	8.59E-11	1.31E-07
2.86E-11	2.68E-10	5.16E-07
2.08E-10	8.96E-10	2.08E-06
3.54E-10	2.80E-09	8.30E-06
1.05E-09	6.98E-09	3.32E-05
