l2_error	h1_semi_error	h2_semi_error
2.03E-16	6.58E-16	5.34E-15
2.81E-16	1.57E-15	1.94E-14
2.87E-16	2.98E-15	1.18E-13
2.01E-15	1.56E-14	6.86E-13
5.22E-15	3.30E-14	1.85E-12
1.48E-14	9.58E-14	7.52E-12
4.47E-14	3.00E-13	3.29E-11
9.19E-14	5.68E-13	1.41E-10
1.05E-13	1.06E-12	5.40E-10
5.94E-13	4.96E-12	2.13E-09
3.90E-12	1.69E-11	8.54E-09
3.40E-12	3.00E-11	3.37E-08
8.87E-12	8.04E-11	1.35E-07
2.82E-11	2.37E-10	5.37E-07
7.93E-11	6.93E-10	2.18E-06
3.21E-10	3.17E-09	8.63E-06
