l2_error	h1_semi_error	h2_semi_error
3.74E-17	9.81E-17	3.14E-16
3.96E-17	2.91E-16	3.58E-15
4.15E-16	1.38E-15	1.07E-14
1.93E-16	1.69E-15	4.69E-14
1.82E-16	3.14E-15	1.94E-13
3.15E-15	1.48E-14	7.74E-13
4.75E-15	3.75E-14	3.42E-12
2.66E-14	1.17E-13	1.36E-11
6.65E-14	3.49E-13	5.41E-11
8.05E-13	3.06E-12	2.00E-10
9.15E-13	3.88E-12	8.38E-10
8.24E-12	2.95E-11	3.28E-09
2.25E-11	8.34E-11	1.32E-08
1.30E-10	4.93E-10	5.26E-08
3.37E-10	1.27E-09	2.10E-07
2.39E-09	8.87E-09	8.56E-07
