l2_error	h1_semi_error	h2_semi_error
7.05E-17	5.61E-16	1.22E-14
2.58E-16	1.62E-15	1.15E-13
1.13E-15	7.96E-15	4.50E-13
2.31E-15	2.29E-14	2.13E-12
4.68E-15	4.65E-14	8.62E-12
8.51E-15	9.84E-14	3.10E-11
6.95E-14	4.62E-13	1.32E-10
2.56E-13	1.72E-12	5.38E-10
1.96E-12	9.08E-12	2.13E-09
1.35E-12	1.38E-11	8.57E-09
1.28E-12	1.65E-11	3.37E-08
3.82E-12	6.91E-11	1.34E-07
2.93E-11	1.98E-10	5.43E-07
2.34E-10	9.55E-10	2.17E-06
3.41E-10	1.78E-09	8.68E-06
1.18E-09	6.25E-09	3.47E-05
