monolithic	schur_1e-16	schur_1e-10
1.31E-003	1.31E-003	1.31E-003
8.97E-005	8.97E-005	8.97E-005
5.69E-006	5.69E-006	5.69E-006
3.57E-007	3.57E-007	6.57E-007
2.23E-008	2.23E-008	4.07E-007
1.39E-009	1.40E-009	3.52E-006
8.71E-011	4.88E-010	3.92E-006
5.45E-012	2.79E-009	1.61E-005
5.59E-013	1.28E-008	5.35E-005
9.02E-013	7.97E-008	1.86E-004
1.80E-012	4.40E-007	5.37E-004
3.58E-012	2.42E-006	1.93E-003
7.15E-012	1.36E-005	6.32E-003
1.44E-011	7.64E-005	1.47E-002
