monolithic	schur_1e-16	schur_1e-10
3.12E-005	3.12E-005	3.12E-005
1.07E-006	1.07E-006	1.07E-006
3.38E-008	3.38E-008	3.38E-008
1.06E-009	1.06E-009	2.77E-009
3.31E-011	3.31E-011	1.03E-009
1.04E-012	1.04E-012	4.74E-009
5.08E-014	3.15E-013	2.79E-009
7.84E-014	8.43E-013	5.62E-009
1.59E-013	2.05E-012	8.53E-009
3.14E-013	6.19E-012	1.74E-008
6.35E-013	1.69E-011	2.66E-008
1.26E-012	4.76E-011	4.28E-008
2.53E-012	1.33E-010	1.40E-007
5.05E-012	3.70E-010	1.44E-007
