l2_error	h1_semi_error	h2_semi_error
6.58E-16	1.99E-15	1.69E-14
1.47E-15	5.30E-15	8.48E-14
4.39E-15	1.64E-14	3.29E-13
1.57E-14	5.70E-14	1.59E-12
6.11E-14	2.19E-13	5.64E-12
2.45E-13	8.80E-13	2.25E-11
9.80E-13	3.51E-12	8.89E-11
3.93E-12	1.41E-11	3.41E-10
1.57E-11	5.63E-11	1.33E-09
6.28E-11	2.25E-10	5.40E-09
2.51E-10	9.01E-10	2.15E-08
1.01E-09	3.60E-09	8.59E-08
4.02E-09	1.44E-08	3.45E-07
1.61E-08	5.77E-08	1.38E-06
6.43E-08	2.31E-07	5.53E-06
2.57E-07	9.23E-07	2.22E-05
1.03E-06	3.69E-06	8.86E-05
4.12E-06	1.48E-05	3.53E-04
1.65E-05	5.90E-05	1.40E-03
6.58E-05	2.36E-04	5.56E-03
