l2_error	h1_semi_error	h2_semi_error
4.56E-02	2.89E-01	2.00E+00
1.14E-02	1.44E-01	2.00E+00
2.85E-03	7.22E-02	2.00E+00
7.13E-04	3.61E-02	2.00E+00
1.78E-04	1.80E-02	2.00E+00
4.46E-05	9.02E-03	2.00E+00
1.11E-05	4.51E-03	2.00E+00
2.79E-06	2.26E-03	2.00E+00
6.96E-07	1.13E-03	2.00E+00
1.74E-07	5.64E-04	2.00E+00
4.35E-08	2.82E-04	2.00E+00
1.09E-08	1.41E-04	2.00E+00
2.72E-09	7.05E-05	2.00E+00
6.82E-10	3.52E-05	2.00E+00
1.71E-10	1.76E-05	2.00E+00
4.22E-11	8.81E-06	2.00E+00
2.67E-11	4.40E-06	2.00E+00
5.79E-10	2.20E-06	2.00E+00
3.97E-09	1.10E-06	2.00E+00
1.79E-08	5.54E-07	2.00E+00
6.94E-08	4.14E-07	2.00E+00
1.31E-07	7.60E-07	2.00E+00
1.57E-07	1.58E-06	2.00E+00
