l2_error	h1_semi_error	h2_semi_error
1.51E-16	3.76E-16	4.04E-15
3.47E-16	1.09E-15	1.52E-14
3.93E-16	1.73E-15	8.54E-14
9.70E-16	4.54E-15	3.92E-13
2.49E-15	1.08E-14	1.04E-12
1.04E-14	4.04E-14	4.99E-12
3.62E-14	1.33E-13	1.87E-11
1.38E-13	4.98E-13	7.75E-11
5.67E-13	2.04E-12	3.27E-10
2.19E-12	7.86E-12	1.34E-09
9.17E-12	3.30E-11	5.00E-09
3.61E-11	1.30E-10	2.02E-08
1.43E-10	5.13E-10	8.81E-08
5.73E-10	2.06E-09	3.35E-07
2.31E-09	8.27E-09	1.35E-06
9.19E-09	3.29E-08	5.13E-06
3.68E-08	1.32E-07	2.20E-05
1.47E-07	5.29E-07	8.21E-05
5.90E-07	2.11E-06	3.42E-04
2.36E-06	8.46E-06	1.41E-03
9.44E-06	3.39E-05	5.35E-03
