l2_error	h1_semi_error	h2_semi_error
1.67E-16	4.39E-16	4.44E-16
2.94E-16	7.34E-16	2.56E-15
5.07E-16	1.54E-15	1.39E-14
1.77E-15	6.07E-15	5.86E-14
6.75E-15	2.36E-14	2.05E-13
2.70E-14	9.65E-14	8.99E-13
1.08E-13	3.86E-13	3.58E-12
4.26E-13	1.53E-12	1.31E-11
1.70E-12	6.10E-12	5.48E-11
6.76E-12	2.43E-11	2.27E-10
2.70E-11	9.69E-11	8.81E-10
1.08E-10	3.87E-10	3.53E-09
4.31E-10	1.55E-09	1.42E-08
1.72E-09	6.18E-09	5.65E-08
6.89E-09	2.47E-08	2.26E-07
2.76E-08	9.89E-08	9.06E-07
1.10E-07	3.95E-07	3.63E-06
4.41E-07	1.58E-06	1.45E-05
1.77E-06	6.33E-06	5.80E-05
7.06E-06	2.53E-05	2.32E-04
2.83E-05	1.01E-04	9.27E-04
1.13E-04	4.06E-04	3.71E-03
