monolithic	M_1e-16	M_1e-10
3.12E-005	3.12E-005	3.12E-005
1.07E-006	1.07E-006	1.07E-006
3.38E-008	3.38E-008	3.38E-008
1.06E-009	1.06E-009	1.53E-009
3.31E-011	3.31E-011	1.05E-009
1.04E-012	1.05E-012	1.48E-009
5.08E-014	3.34E-013	2.02E-009
7.84E-014	8.21E-013	2.83E-009
1.59E-013	2.25E-012	3.99E-009
3.14E-013	5.81E-012	5.65E-009
6.35E-013	1.68E-011	7.98E-009
1.26E-012	4.63E-011	1.13E-008
2.53E-012	1.30E-010	1.60E-008
5.05E-012	3.70E-010	2.26E-008
