monolithic	M_1e-16	M_1e-10
1.31E-003	1.31E-003	1.31E-003
8.97E-005	8.97E-005	8.97E-005
5.69E-006	5.69E-006	5.69E-006
3.57E-007	3.57E-007	4.01E-007
2.23E-008	2.23E-008	3.19E-007
1.39E-009	1.40E-009	1.02E-006
8.71E-011	5.43E-010	2.44E-006
5.45E-012	2.64E-009	6.89E-006
5.59E-013	1.46E-008	1.94E-005
9.02E-013	7.47E-008	5.47E-005
1.80E-012	4.28E-007	1.55E-004
3.58E-012	2.38E-006	4.39E-004
7.15E-012	1.33E-005	1.24E-003
1.44E-011	7.60E-005	3.51E-003
