l2_error	h1_semi_error	h2_semi_error
5.33E-04	1.88E-03	4.94E-04
3.55E-05	1.16E-04	9.73E-05
2.26E-06	7.17E-06	6.57E-06
1.42E-07	4.47E-07	4.18E-07
8.88E-09	2.79E-08	2.62E-08
5.55E-10	1.75E-09	1.64E-09
3.47E-11	1.09E-10	1.03E-10
2.22E-12	6.99E-12	1.15E-11
2.15E-13	7.05E-13	3.36E-11
2.34E-13	9.78E-13	1.39E-10
2.05E-12	7.02E-12	5.90E-10
1.34E-11	4.65E-11	2.34E-09
1.38E-11	4.60E-11	9.22E-09
6.85E-11	2.34E-10	3.66E-08
2.88E-10	9.83E-10	1.47E-07
1.17E-09	3.96E-09	5.92E-07
