l2_error	h1_semi_error	h2_semi_error
3.85E-07	1.27E-06	7.34E-06
7.55E-09	2.41E-08	1.30E-07
1.23E-10	3.89E-10	2.06E-09
1.94E-12	6.12E-12	3.22E-11
2.97E-14	1.09E-13	8.86E-12
6.05E-14	2.56E-13	3.19E-11
1.44E-13	7.97E-13	1.19E-10
2.47E-13	1.17E-12	5.21E-10
8.99E-13	4.04E-12	2.05E-09
7.78E-13	7.99E-12	8.07E-09
3.43E-12	4.12E-11	3.24E-08
2.18E-11	9.05E-11	1.29E-07
2.24E-11	1.47E-10	5.16E-07
1.43E-10	6.51E-10	2.09E-06
8.55E-10	3.81E-09	8.28E-06
6.32E-10	2.98E-09	3.32E-05
