||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.63E-004	7.01E-001	2.68E+001
1.01E-005	2.10E-002	1.61E+000
6.25E-007	6.42E-004	1.00E-001
3.89E-008	1.97E-005	6.26E-003
2.43E-009	6.08E-007	3.91E-004
1.52E-010	1.88E-008	2.45E-005
9.49E-012	5.82E-010	1.53E-006
5.93E-013	2.06E-011	9.50E-008
3.65E-014	1.39E-011	5.43E-009
9.93E-015	2.68E-011	4.29E-009
2.00E-014	5.01E-011	9.04E-009
4.02E-014	1.08E-010	1.83E-008
6.58E-014	1.79E-010	3.64E-008
1.44E-013	3.82E-010	7.33E-008
2.97E-013	7.90E-010	1.45E-007
5.54E-013	1.48E-009	2.92E-007
1.18E-012	3.06E-009	5.87E-007
2.35E-012	6.19E-009	1.17E-006
0	0	0
0	0	0
0	0	0
0	0	0
