node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	3.76E-004	9.92E-004	6.37E-004	2.59E-009	1.94E-013
5	5.56E-004	6.49E-004	3.15E-005	1.66E-010	3.33E-013
9	3.01E-004	6.68E-004	2.02E-006	1.04E-011	3.54E-013
17	4.93E-005	3.47E-004	1.27E-007	6.51E-013	4.15E-013
33	2.40E-005	8.00E-005	7.94E-009	4.44E-014	3.98E-013
65	4.87E-005	1.45E-006	4.96E-010	5.10E-015	7.67E-013
129	1.35E-005	2.26E-007	3.10E-011	7.08E-015	4.22E-013
257	5.98E-006	1.79E-008	1.94E-012	7.75E-015	1.19E-012
513	2.21E-007	1.19E-009	1.21E-013	1.27E-014	1.10E-012
1025	2.92E-008	7.53E-011	7.63E-015	1.42E-014	1.84E-012
2049	2.10E-007	4.73E-012	5.23E-016	1.98E-014	2.76E-012
4097	2.99E-010	2.96E-013	1.13E-015	2.93E-014	2.96E-012
8193	8.58E-011	1.85E-014	6.81E-016	4.72E-014	5.11E-012
16385	9.52E-012	3.07E-015	5.18E-015	1.31E-013	2.12E-011
32769	6.88E-13	4.81E-15	3.92E-15	4.59E-13	2.93E-11
65537	4.49E-14	2.66E-15	9.44E-15	3.25E-13	4.45E-11
131073	5.49E-15	9.84E-15	8.36E-15	1.00E-12	1.04E-10
262145	2.33E-14	1.88E-14	2.21E-14	1.35E-12	1.92E-10
524289	1.63E-14	2.86E-14	0	0	0
1048577	5.31E-14	0	0	0	0
2097153	7.72E-14	0	0	0	0
4194305	1.29E-13	0	0	0	0
