||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
7.19E-007	2.20E-005	1.13E-003
1.23E-008	7.52E-007	7.72E-005
1.94E-010	2.38E-008	4.89E-006
3.05E-012	7.45E-010	3.06E-007
6.80E-013	2.34E-011	1.92E-008
2.61E-012	8.72E-012	1.88E-009
1.06E-011	3.34E-011	2.72E-009
4.26E-011	1.34E-010	5.91E-009
1.69E-010	5.33E-010	2.49E-008
6.79E-010	2.14E-009	1.37E-007
2.72E-009	8.58E-009	7.83E-007
1.09E-008	3.43E-008	4.65E-006
4.36E-008	1.37E-007	2.92E-005
1.74E-007	5.48E-007	2.09E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
