||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
2.24E-003	2.65E-002	3.86E-001
3.16E-004	6.69E-003	1.97E-001
3.75E-005	1.63E-003	9.85E-002
4.16E-006	4.01E-004	4.91E-002
4.57E-007	9.93E-005	2.45E-002
5.25E-008	2.47E-005	1.23E-002
6.33E-009	6.18E-006	6.13E-003
7.82E-010	1.54E-006	3.06E-003
9.75E-011	3.86E-007	1.53E-003
2.46E-011	9.65E-008	7.66E-004
6.43E-011	2.41E-008	3.83E-004
5.79E-011	6.04E-009	1.91E-004
1.30E-009	5.93E-009	9.57E-005
4.48E-009	2.06E-008	4.79E-005
1.82E-008	8.26E-008	2.44E-005
8.67E-008	3.86E-007	2.44E-005
3.46E-007	1.57E-006	8.74E-005
1.18E-006	5.50E-006	3.10E-004
4.18E-006	1.95E-005	1.11E-003
1.17E-005	5.70E-005	3.37E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
