||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.15E-003	1.32E-001
9.88E-006	1.07E-004	8.99E-003
6.21E-007	3.38E-006	5.69E-004
3.88E-008	1.06E-007	3.57E-005
2.43E-009	3.31E-009	2.23E-006
1.52E-010	1.03E-010	1.39E-007
9.48E-012	3.27E-012	8.71E-009
5.93E-013	7.07E-013	5.45E-010
3.74E-014	1.15E-012	5.00E-011
3.27E-015	1.61E-012	7.34E-011
1.49E-015	4.08E-012	1.46E-010
4.48E-015	8.48E-012	2.89E-010
2.97E-015	1.63E-011	5.82E-010
5.03E-015	3.55E-011	1.16E-009
1.08E-014	6.36E-011	2.32E-009
1.72E-014	1.31E-010	4.66E-009
3.34E-014	2.64E-010	9.30E-009
7.24E-014	5.28E-010	1.85E-008
0	0	0
0	0	0
0	0	0
0	0	0
