node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	2.07E+001	3.18E-001	6.24E-005	9.12E-009	1.46E-011
5	8.03E+000	6.36E-002	2.14E-006	2.85E-010	3.01E-011
9	6.88E+000	3.17E-003	6.76E-008	8.90E-012	7.66E-011
17	9.08E-001	1.25E-004	2.12E-009	6.98E-013	1.67E-010
33	6.64E-002	4.30E-006	6.62E-011	1.15E-012	3.11E-010
65	1.24E-002	1.36E-007	2.07E-012	2.14E-012	6.15E-010
129	2.05E-004	4.25E-009	8.35E-014	4.69E-012	1.21E-009
257	1.31E-005	1.33E-010	1.09E-013	1.01E-011	2.49E-009
513	4.16E-007	4.15E-012	2.20E-013	2.00E-011	4.89E-009
1025	1.30E-008	1.34E-013	4.38E-013	3.78E-011	9.83E-009
2049	4.08E-010	6.91E-014	8.53E-013	8.04E-011	1.96E-008
4097	1.28E-011	1.36E-013	1.74E-012	1.60E-010	3.90E-008
8193	3.98E-013	2.74E-013	3.44E-012	3.19E-010	7.81E-008
16385	5.34E-014	5.56E-013	6.87E-012	6.40E-010	1.57E-007
32769	1.15E-13	1.11E-12	1.38E-11	1.27E-09	3.13E-07
65537	2.23E-13	2.21E-12	2.76E-11	2.56E-09	6.27E-07
131073	4.49E-13	4.44E-12	0.00E+00	0.00E+00	0.00E+00
262145	8.87E-13	8.89E-12	0.00E+00	0.00E+00	0.00E+00
524289	1.80E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1048577	3.58E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2097153	0	0	0.00E+000	0.00E+000	0.00E+000
4194305	0	0	0	0	0
8388609	0	0	0	0	0
