node number	c=1e-4	c=1e-2	C=1	c=1e2	c=1e4
3	1.71E-003	4.51E-003	2.77E-003	2.87E-010	2.59E-016
5	2.53E-003	2.95E-003	1.37E-004	1.84E-011	5.21E-016
9	1.37E-003	3.04E-003	8.77E-006	1.16E-012	4.10E-016
17	2.24E-004	1.58E-003	5.51E-007	7.23E-014	4.29E-016
33	1.09E-004	3.64E-004	3.45E-008	4.53E-015	9.91E-016
65	2.22E-004	6.58E-006	2.16E-009	5.17E-016	1.33E-015
129	6.12E-005	1.03E-006	1.35E-010	4.61E-016	1.09E-015
257	2.72E-005	8.14E-008	8.43E-012	7.15E-016	8.03E-016
513	1.00E-006	5.40E-009	5.27E-013	1.34E-015	7.21E-016
1025	1.33E-007	3.42E-010	3.29E-014	2.13E-015	1.33E-015
2049	9.54E-007	2.15E-011	3.31E-015	4.81E-015	3.96E-015
4097	1.36E-009	1.34E-012	3.52E-015	6.13E-015	8.44E-015
8193	3.90E-010	8.41E-014	3.93E-015	7.53E-015	5.86E-015
16385	4.33E-011	1.67E-014	1.61E-014	8.95E-015	4.22E-015
32769	3.13E-12	1.01E-14	1.47E-14	2.42E-14	1.83E-14
65537	2.09E-13	1.91E-14	3.90E-14	6.69E-14	4.79E-14
131073	8.73E-14	1.62E-14	5.49E-14	9.17E-14	9.34E-14
262145	1.16E-13	9.93E-14	5.25E-14	2.77E-13	1.75E-13
524289	2.00E-13	1.86E-13	0	0	0
1048577	2.49E-13	4.51E-13	0	0	0
2097153	6.25E-13	0	0	0	0
