node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	1.69E-002	1.79E-002	6.24E-004	2.44E-013	5.70E-013
5	1.36E-002	1.42E-002	1.49E-005	1.06E-014	1.08E-012
9	1.41E-002	1.79E-002	4.74E-007	1.93E-014	2.57E-012
17	4.64E-003	8.38E-003	1.49E-008	4.24E-014	6.19E-012
33	2.57E-003	2.82E-003	4.65E-010	1.40E-013	1.08E-011
65	4.99E-003	5.64E-004	1.45E-011	1.83E-013	1.83E-011
129	1.37E-003	3.62E-005	4.55E-013	3.97E-013	3.91E-011
257	6.47E-004	1.34E-006	2.42E-014	7.54E-013	7.53E-011
513	3.33E-004	4.38E-008	3.92E-014	1.49E-012	1.56E-010
1025	1.23E-004	1.38E-009	7.87E-014	3.13E-012	3.11E-010
2049	3.17E-004	4.33E-011	1.59E-013	6.21E-012	6.27E-010
4097	1.11E-005	1.39E-012	3.16E-013	1.24E-011	1.26E-009
8193	2.41E-006	6.10E-013	6.33E-013	2.48E-011	2.52E-009
16385	1.15E-007	1.22E-012	1.27E-012	4.93E-011	5.04E-009
32769	3.99E-09	2.44E-12	2.54E-12	9.76E-11	1.01E-08
65537	1.28E-10	4.88E-12	5.07E-12	1.96E-10	2.01E-08
131073	1.06E-11	9.77E-12	1.02E-11	3.93E-10	4.02E-08
262145	1.95E-11	1.95E-11	2.03E-11	7.86E-10	8.04E-08
524289	3.91E-11	3.90E-11	0	0	0
1048577	7.81E-11	0	0	0	0
2097153	1.56E-10	0	0	0	0
4194305	3.12E-10	0	0	0	0
