||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
3.66E-001	2.06E+000	1.38E+001
1.85E-001	1.21E+000	9.02E+000
6.76E-002	4.86E-001	8.47E+000
7.61E-004	6.86E-003	3.19E-001
1.54E-006	1.06E-004	2.47E-002
1.26E-007	2.50E-005	1.23E-002
9.91E-009	6.20E-006	6.13E-003
1.02E-009	1.55E-006	3.06E-003
1.19E-010	3.86E-007	1.53E-003
2.02E-011	9.65E-008	7.66E-004
7.33E-011	2.41E-008	3.83E-004
1.60E-010	6.06E-009	1.91E-004
8.69E-010	3.32E-009	9.57E-005
3.35E-009	1.14E-008	4.79E-005
1.33E-008	4.51E-008	2.40E-005
5.21E-008	1.77E-007	1.47E-005
2.16E-007	7.34E-007	3.53E-005
8.72E-007	2.96E-006	1.40E-004
3.42E-006	1.16E-005	5.51E-004
1.38E-005	4.67E-005	2.21E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
