node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	5.34E-015	5.34E-015	5.34E-015	5.34E-015	5.34E-015
5	1.36E-014	1.22E-014	1.22E-014	1.36E-014	1.36E-014
9	2.52E-014	2.53E-014	2.53E-014	2.52E-014	2.52E-014
17	4.77E-014	4.77E-014	4.77E-014	4.77E-014	4.77E-014
33	9.55E-014	9.55E-014	9.55E-014	9.55E-014	9.55E-014
65	1.99E-013	1.99E-013	1.99E-013	1.99E-013	1.99E-013
129	3.84E-013	3.85E-013	3.85E-013	3.84E-013	3.84E-013
257	7.64E-013	7.89E-013	7.89E-013	7.64E-013	7.64E-013
513	1.55E-012	1.54E-012	1.54E-012	1.55E-012	1.55E-012
1025	3.07E-012	3.08E-012	3.08E-012	3.07E-012	3.07E-012
2049	6.20E-012	6.20E-012	6.20E-012	6.20E-012	6.20E-012
4097	1.23E-011	1.23E-011	1.23E-011	1.23E-011	1.23E-011
8193	2.45E-011	2.45E-011	2.45E-011	2.45E-011	2.45E-011
16385	4.30E-011	4.30E-011	4.30E-011	4.30E-011	4.30E-011
32769	9.77E-11	9.78E-11	9.78E-11	9.77E-11	9.77E-11
