||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.56E-004	1.41E-003	4.49E-002
9.92E-006	7.42E-005	4.99E-003
6.21E-007	1.39E-006	1.91E-004
3.88E-008	2.53E-008	6.37E-006
2.43E-009	4.72E-010	2.13E-007
1.52E-010	8.10E-012	7.12E-009
9.48E-012	1.38E-013	2.60E-010
5.93E-013	1.37E-014	1.21E-011
3.70E-014	2.20E-014	3.29E-012
2.33E-015	3.22E-014	3.53E-012
3.55E-016	7.19E-014	4.29E-012
4.18E-016	1.15E-013	5.93E-012
5.80E-016	2.10E-013	9.58E-012
8.25E-016	3.93E-013	1.69E-011
1.11E-015	8.33E-013	3.12E-011
1.86E-015	1.63E-012	6.12E-011
2.61E-015	3.33E-012	1.19E-010
4.59E-015	6.68E-012	2.37E-010
0	0	0
0	0	0
0	0	0
0	0	0
