||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.44E-002	3.77E-001
2.02E-004	6.27E-003	1.94E-001
2.55E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.90E-011	3.86E-007	1.53E-003
7.18E-011	9.65E-008	7.66E-004
2.77E-010	2.41E-008	3.83E-004
1.15E-009	7.03E-009	1.91E-004
4.56E-009	1.44E-008	9.57E-005
1.79E-008	5.65E-008	4.79E-005
7.25E-008	2.28E-007	2.40E-005
2.91E-007	9.16E-007	1.30E-005
8.88E-007	2.80E-006	1.19E-005
4.64E-006	1.46E-005	8.24E-005
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
