node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	6.26E-016	6.26E-016	6.92E-016	6.92E-016	6.92E-016
5	1.20E-015	1.20E-015	1.02E-015	1.02E-015	1.36E-015
9	2.49E-015	2.49E-015	2.30E-015	2.30E-015	2.68E-015
17	7.21E-015	7.21E-015	7.41E-015	7.41E-015	7.41E-015
33	1.05E-014	1.05E-014	1.07E-014	1.07E-014	1.07E-014
65	2.09E-014	2.09E-014	2.11E-014	2.11E-014	2.11E-014
129	4.04E-014	4.04E-014	4.02E-014	4.02E-014	4.06E-014
257	9.30E-014	9.30E-014	9.30E-014	9.30E-014	9.32E-014
513	1.70E-013	1.70E-013	1.70E-013	1.70E-013	1.70E-013
1025	3.35E-013	3.35E-013	3.35E-013	3.35E-013	3.36E-013
2049	7.41E-013	7.41E-013	7.41E-013	7.41E-013	7.41E-013
4097	1.37E-012	1.37E-012	1.37E-012	1.37E-012	1.38E-012
8193	2.78E-012	2.78E-012	2.78E-012	2.78E-012	2.78E-012
16385	5.27E-012	5.27E-012	5.27E-012	5.27E-012	5.27E-012
32769	1.12E-11	1.12E-11	1.12E-11	1.12E-11	1.12E-11
