||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.55E-004	9.12E-005	3.44E-003
9.88E-006	2.24E-006	1.77E-004
6.21E-007	6.23E-008	1.02E-005
3.88E-008	1.87E-009	6.25E-007
2.43E-009	5.78E-011	3.89E-008
1.52E-010	1.80E-012	2.42E-009
9.48E-012	5.65E-014	1.51E-010
5.93E-013	8.95E-015	9.41E-012
3.70E-014	1.37E-014	6.46E-013
2.38E-015	2.15E-014	8.99E-013
1.04E-015	5.72E-014	1.83E-012
1.80E-015	1.06E-013	3.62E-012
1.98E-015	2.00E-013	7.22E-012
2.94E-015	4.31E-013	1.45E-011
5.54E-015	8.50E-013	2.90E-011
1.07E-014	1.69E-012	5.80E-011
2.12E-014	3.27E-012	1.16E-010
4.53E-014	6.52E-012	2.32E-010
0	0	0
0	0	0
0	0	0
0	0	0
