||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.56E-004	4.64E-004	1.50E-002
9.90E-006	9.85E-006	6.50E-004
6.21E-007	1.91E-007	2.36E-005
3.88E-008	3.67E-009	9.30E-007
2.43E-009	7.71E-011	4.45E-008
1.52E-010	1.97E-012	2.52E-009
9.48E-012	5.78E-014	1.53E-010
5.93E-013	6.99E-015	9.49E-012
3.70E-014	1.79E-014	7.83E-013
2.33E-015	2.70E-014	9.86E-013
5.96E-016	5.82E-014	1.94E-012
7.91E-016	1.09E-013	3.74E-012
1.10E-015	1.93E-013	7.26E-012
1.42E-015	4.19E-013	1.46E-011
1.98E-015	8.61E-013	2.90E-011
3.76E-015	1.61E-012	5.82E-011
7.31E-015	3.38E-012	1.17E-010
1.22E-014	6.57E-012	2.33E-010
0	0	0
0	0	0
0	0	0
0	0	0
