||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.61E-004	6.85E-003	2.69E-001
1.00E-005	2.00E-004	1.61E-002
6.23E-007	6.06E-006	1.00E-003
3.89E-008	1.87E-007	6.27E-005
2.43E-009	5.82E-009	3.92E-006
1.52E-010	1.82E-010	2.45E-007
9.48E-012	5.68E-012	1.53E-008
5.92E-013	2.18E-013	9.51E-010
3.67E-014	1.33E-013	5.37E-011
1.02E-014	5.78E-013	4.36E-011
1.32E-014	8.49E-013	9.07E-011
2.26E-014	1.56E-012	1.85E-010
6.17E-014	3.63E-012	3.66E-010
1.09E-013	7.30E-012	7.38E-010
2.22E-013	1.41E-011	1.48E-009
4.29E-013	2.85E-011	2.97E-009
8.93E-013	5.78E-011	5.93E-009
1.78E-012	1.13E-010	1.18E-008
0	0	0
0	0	0
0	0	0
0	0	0
