||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
2.25E+001	8.57E+001	5.21E+002
5.31E+001	1.91E+002	1.25E+003
2.22E+001	8.98E+001	1.46E+003
5.44E+000	4.08E+001	1.41E+003
3.30E+000	4.26E+001	1.94E+003
3.91E-002	1.21E+000	1.58E+002
2.54E-001	4.03E+000	1.07E+003
6.68E-003	2.04E+000	1.41E+003
3.12E-001	4.34E+000	1.67E+003
4.85E-004	7.08E-002	2.10E+002
5.53E-005	9.02E-004	5.68E+000
3.93E-007	7.12E-006	9.70E-002
1.01E-009	5.53E-008	1.56E-003
2.89E-009	9.83E-009	5.05E-005
1.40E-008	4.77E-008	1.95E-004
5.12E-008	1.74E-007	7.08E-004
2.12E-007	7.18E-007	2.93E-003
8.72E-007	2.96E-006	1.21E-002
3.43E-006	1.16E-005	4.75E-002
1.38E-005	4.68E-005	1.91E-001
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
