node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	2.00E+000	8.31E+000	2.64E-002	2.83E-006	2.83E-010
5	1.90E+003	4.91E+000	6.81E-003	7.82E-007	7.83E-011
9	9.65E+002	2.66E+000	1.71E-003	2.00E-007	2.00E-011
17	6.22E+002	5.50E-001	4.29E-004	5.02E-008	5.03E-012
33	6.71E+001	1.41E-001	1.07E-004	1.26E-008	1.29E-012
65	3.68E+001	3.56E-002	2.69E-005	3.14E-009	1.09E-012
129	8.87E+000	8.91E-003	6.71E-006	7.86E-010	4.12E-012
257	2.21E+000	2.23E-003	1.68E-006	1.97E-010	1.65E-011
513	5.58E-001	5.57E-004	4.20E-007	8.21E-011	6.58E-011
1025	1.40E-001	1.39E-004	1.05E-007	2.64E-010	2.64E-010
2049	3.50E-002	3.48E-005	2.63E-008	1.05E-009	1.05E-009
4097	8.76E-003	8.70E-006	7.87E-009	4.20E-009	4.20E-009
8193	2.19E-003	2.18E-006	1.75E-008	1.68E-008	1.68E-008
16385	5.47E-004	5.47E-007	6.99E-008	6.75E-008	6.75E-008
32769	1.37E-004	2.55E-007	2.79E-007	2.69E-007	2.69E-007
65537	3.42E-005	8.64E-007	1.11E-006	1.07E-006	1.08E-006
131073	8.63E-006	3.46E-006	4.46E-006	4.30E-006	4.30E-006
262145	5.23E-006	1.39E-005	1.79E-005	1.72E-005	1.73E-005
524289	1.99E-005	5.71E-005	7.23E-005	6.97E-005	6.97E-005
1048577	7.71E-005	2.23E-004	2.88E-004	2.78E-004	2.78E-004
