node number	c=1e-2	c=1e-1	C=1	c=1e1	c=1e2
3	5.59E+005	3.44E+003	1.46E+000	1.13E-006	1.11E-012
5	2.63E+005	4.41E+003	7.13E-002	7.19E-008	7.32E-014
9	7.44E+005	2.20E+003	4.55E-003	4.51E-009	2.65E-014
17	3.65E+005	2.40E+002	2.86E-004	2.82E-010	4.96E-014
33	4.38E+005	1.71E+001	1.79E-005	1.77E-011	1.19E-013
65	3.45E+005	1.11E+000	1.12E-006	1.16E-012	1.86E-013
129	5.29E+004	6.97E-002	6.99E-008	3.98E-013	3.80E-013
257	4.08E+003	4.37E-003	4.37E-009	7.71E-013	7.51E-013
513	2.69E+002	2.73E-004	2.73E-010	1.54E-012	1.53E-012
1025	1.70E+001	1.71E-005	2.06E-011	3.05E-012	3.04E-012
2049	1.07E+000	1.07E-006	2.32E-011	6.06E-012	6.22E-012
4097	6.67E-002	6.67E-008	4.61E-011	1.21E-011	1.22E-011
8193	4.17E-003	4.27E-009	9.19E-011	2.42E-011	2.47E-011
16385	2.61E-004	1.86E-009	1.84E-010	4.88E-011	4.95E-011
32769	1.63E-05	3.68E-09	3.67E-10	9.73E-11	9.86E-11
65537	1.02E-06	7.37E-09	7.33E-10	1.95E-10	1.96E-10
131073	1.67E-07	1.47E-08	1.47E-09	3.89E-10	3.93E-10
262145	3.01E-07	2.94E-08	2.95E-09	7.80E-10	7.92E-10
524289	5.95E-07	5.89E-08	0	0	0
1048577	1.18E-06	1.18E-07	0	0	0
2097153	2.36E-06	0	0	0	0
