||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.38E-004	3.28E-003	8.45E-002
8.83E-006	4.18E-004	2.16E-002
5.54E-007	5.25E-005	5.44E-003
3.47E-008	6.56E-006	1.36E-003
2.17E-009	8.20E-007	3.40E-004
1.35E-010	1.03E-007	8.51E-005
9.12E-012	1.28E-008	2.13E-005
1.41E-011	1.60E-009	5.32E-006
5.60E-011	2.67E-010	1.33E-006
2.23E-010	7.04E-010	3.37E-007
8.97E-010	2.83E-009	2.60E-007
3.57E-009	1.13E-008	1.34E-006
1.43E-008	4.51E-008	7.69E-006
5.72E-008	1.81E-007	3.73E-005
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
