||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
5.55E-007	2.20E-005	1.13E-003
9.45E-009	7.52E-007	7.72E-005
1.49E-010	2.38E-008	4.89E-006
2.42E-012	7.45E-010	3.06E-007
2.38E-012	2.36E-011	1.91E-008
1.00E-011	1.60E-011	1.19E-009
3.74E-011	5.92E-011	2.50E-010
1.51E-010	2.38E-010	1.03E-009
5.96E-010	9.42E-010	4.02E-009
2.64E-009	4.17E-009	1.67E-008
9.52E-009	1.51E-008	6.43E-008
4.21E-008	6.67E-008	2.64E-007
1.52E-007	2.41E-007	1.03E-006
6.80E-007	1.08E-006	4.21E-006
2.44E-006	3.86E-006	1.64E-005
9.74E-006	1.54E-005	6.59E-005
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
