||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.16E-003	1.89E-002	6.17E-001
1.76E-005	2.43E-004	2.37E-002
7.65E-007	1.77E-005	2.96E-003
3.99E-008	5.61E-007	1.89E-004
2.44E-009	1.76E-008	1.18E-005
1.52E-010	5.50E-010	7.41E-007
9.49E-012	1.72E-011	4.63E-008
5.93E-013	5.38E-013	2.90E-009
3.70E-014	1.84E-014	1.81E-010
2.70E-015	2.79E-014	1.14E-011
2.36E-015	5.15E-014	1.99E-012
4.15E-015	7.34E-014	3.64E-012
1.14E-014	1.75E-013	7.30E-012
1.43E-014	2.83E-013	1.46E-011
2.71E-014	6.28E-013	2.93E-011
6.75E-014	1.29E-012	5.84E-011
1.34E-013	2.52E-012	1.17E-010
2.61E-013	4.96E-012	2.35E-010
0	0	0
0	0	0
0	0	0
0	0	0
