node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	2.91E-002	3.08E-002	1.06E-003	1.58E-014	3.48E-016
5	2.34E-002	2.45E-002	2.53E-005	7.36E-016	6.48E-016
9	2.44E-002	3.09E-002	8.03E-007	1.12E-015	1.24E-015
17	8.00E-003	1.44E-002	2.52E-008	2.06E-015	2.67E-015
33	4.43E-003	4.87E-003	7.89E-010	4.17E-015	4.58E-015
65	8.61E-003	9.72E-004	2.46E-011	9.80E-015	1.07E-014
129	2.35E-003	6.25E-005	7.70E-013	1.87E-014	2.02E-014
257	1.12E-003	2.32E-006	4.08E-014	3.73E-014	4.00E-014
513	5.75E-004	7.55E-008	6.29E-014	7.40E-014	8.15E-014
1025	2.12E-004	2.38E-009	1.27E-013	1.46E-013	1.67E-013
2049	5.46E-004	7.47E-011	2.59E-013	2.97E-013	3.36E-013
4097	1.92E-005	2.41E-012	5.26E-013	5.84E-013	6.67E-013
8193	4.15E-006	1.24E-012	1.03E-012	1.17E-012	1.34E-012
16385	1.99E-007	2.45E-012	2.07E-012	2.34E-012	2.68E-012
32769	6.89E-09	4.93E-12	4.15E-12	4.66E-12	5.37E-12
65537	2.21E-10	9.85E-12	8.32E-12	9.36E-12	1.07E-11
131073	2.09E-11	1.97E-11	1.66E-11	1.87E-11	2.14E-11
262145	3.94E-11	3.94E-11	3.34E-11	3.74E-11	4.29E-11
524289	7.88E-11	7.87E-11	0	0	0
1048577	1.58E-10	1.58E-10	0	0	0
2097153	3.15E-10	0	0	0	0
4194305	6.30E-10	0	0	0	0
