node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	6.05E+002	1.99E-001	1.67E-004	2.23E-008	2.24E-012
5	2.31E+002	7.58E-002	1.07E-005	1.39E-009	1.40E-013
9	1.93E+002	2.51E-003	6.71E-007	8.70E-011	8.77E-015
17	2.19E+001	4.42E-004	4.20E-008	5.44E-012	6.71E-016
33	1.28E-001	2.88E-005	2.62E-009	3.40E-013	4.08E-016
65	1.13E-002	1.82E-006	1.64E-010	2.13E-014	6.73E-016
129	9.06E-004	1.14E-007	1.03E-011	1.58E-015	4.14E-016
257	6.99E-005	7.11E-009	6.41E-013	7.92E-016	1.02E-015
513	4.43E-006	4.45E-010	3.99E-014	6.47E-016	8.03E-016
1025	2.78E-007	2.78E-011	2.81E-015	1.62E-015	2.37E-015
2049	1.74E-008	1.74E-012	1.85E-015	1.65E-015	2.20E-015
4097	1.09E-009	1.09E-013	4.38E-015	3.61E-015	2.11E-015
8193	6.78E-011	6.09E-014	3.77E-015	6.02E-015	1.97E-015
16385	4.24E-012	4.75E-014	8.87E-015	3.91E-015	7.88E-015
32769	3.04E-13	9.71E-14	2.07E-14	1.56E-14	2.67E-14
65537	1.10E-12	6.28E-14	3.78E-14	1.02E-14	1.38E-14
131073	3.14E-13	9.82E-14	6.39E-14	3.13E-14	1.21E-14
262145	1.74E-12	1.27E-13	1.32E-13	2.28E-14	1.69E-14
