||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.07E-003	2.65E-002	3.76E-001
1.84E-004	6.41E-003	1.94E-001
2.51E-005	1.58E-003	9.77E-002
3.18E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.23E-011	9.65E-008	7.66E-004
3.82E-012	2.41E-008	3.83E-004
2.42E-012	6.03E-009	1.91E-004
9.34E-011	1.59E-009	9.57E-005
7.67E-011	5.70E-010	4.79E-005
6.34E-010	3.35E-009	2.39E-005
2.14E-009	1.14E-008	1.25E-005
2.21E-008	1.16E-007	1.63E-005
4.08E-008	2.13E-007	5.84E-005
2.29E-007	1.14E-006	4.27E-004
6.30E-007	3.09E-006	8.79E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
