||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
6.99E+000	2.38E+001	1.19E+002
1.48E+000	5.27E+000	3.35E+001
5.49E+000	1.97E+001	1.30E+002
2.04E+000	7.37E+000	7.42E+001
3.87E+000	1.39E+001	5.55E+001
4.31E-002	7.54E-001	1.48E+002
5.42E-004	1.69E-002	7.23E+000
1.23E-005	1.89E-004	1.55E-001
7.25E-008	1.60E-006	3.09E-003
4.67E-010	9.88E-008	7.69E-004
4.66E-011	2.42E-008	3.83E-004
3.62E-011	6.04E-009	1.91E-004
8.94E-010	3.38E-009	9.57E-005
3.45E-009	1.17E-008	4.81E-005
1.36E-008	4.60E-008	3.04E-005
5.17E-008	1.76E-007	7.29E-005
2.07E-007	7.01E-007	2.87E-004
8.58E-007	2.91E-006	1.19E-003
3.39E-006	1.15E-005	4.71E-003
1.37E-005	4.64E-005	1.90E-002
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
