||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.38E-004	3.28E-003	8.45E-002
8.83E-006	4.18E-004	2.16E-002
5.54E-007	5.25E-005	5.44E-003
3.47E-008	6.56E-006	1.36E-003
2.17E-009	8.20E-007	3.40E-004
1.35E-010	1.03E-007	8.51E-005
8.46E-012	1.28E-008	2.13E-005
5.32E-011	1.60E-009	5.32E-006
2.13E-010	3.92E-010	1.33E-006
6.36E-013	2.49E-011	3.34E-007
1.26E-012	3.44E-012	9.23E-008
1.38E-008	2.19E-008	9.29E-008
5.52E-008	8.74E-008	3.26E-007
2.25E-007	3.56E-007	1.30E-006
8.85E-007	1.40E-006	5.21E-006
4.04E-011	6.71E-011	2.23E-005
8.08E-011	1.34E-010	8.93E-005
1.62E-010	2.69E-010	3.58E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
