||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.15E-004	1.32E-002
9.88E-006	1.07E-005	8.99E-004
6.21E-007	3.38E-007	5.69E-005
3.88E-008	1.06E-008	3.57E-006
2.43E-009	3.31E-010	2.23E-007
1.52E-010	1.03E-011	1.39E-008
9.48E-012	3.26E-013	8.71E-010
5.93E-013	6.63E-014	5.45E-011
3.68E-014	7.99E-013	5.55E-012
2.47E-015	1.89E-013	7.37E-012
2.38E-015	3.29E-013	1.47E-011
2.81E-015	8.41E-013	2.92E-011
7.64E-015	1.71E-012	5.78E-011
7.06E-015	3.30E-012	1.17E-010
1.30E-014	6.44E-012	2.33E-010
2.05E-014	1.34E-011	4.66E-010
2.82E-014	2.66E-011	9.30E-010
6.25E-014	5.39E-011	1.87E-009
0	0	0
0	0	0
0	0	0
0	0	0
