||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.42E-003	2.45E-002	3.76E-001
1.98E-004	6.27E-003	1.94E-001
2.53E-005	1.58E-003	9.78E-002
3.18E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
7.45E-011	9.65E-008	7.66E-004
5.71E-011	2.41E-008	3.83E-004
1.08E-009	6.94E-009	1.91E-004
1.63E-009	5.42E-009	9.57E-005
3.93E-009	1.25E-008	4.79E-005
7.37E-009	2.35E-008	2.39E-005
3.03E-007	9.65E-007	1.28E-005
1.11E-007	3.54E-007	1.43E-005
4.30E-006	1.37E-005	6.07E-005
1.99E-006	6.34E-006	2.10E-004
5.87E-005	1.87E-004	1.01E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
