node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	6.16E+002	2.01E-001	1.68E-004	2.23E-008	2.24E-012
5	2.35E+002	7.67E-002	1.07E-005	1.39E-009	1.40E-013
9	1.96E+002	2.54E-003	6.75E-007	8.70E-011	8.77E-015
17	2.23E+001	4.47E-004	4.22E-008	5.44E-012	6.82E-016
33	1.31E-001	2.91E-005	2.64E-009	3.40E-013	3.95E-016
65	1.15E-002	1.84E-006	1.65E-010	2.12E-014	4.70E-016
129	9.23E-004	1.15E-007	1.03E-011	1.51E-015	7.79E-016
257	7.11E-005	7.20E-009	6.44E-013	6.44E-016	1.58E-015
513	4.51E-006	4.50E-010	4.01E-014	1.23E-015	1.03E-015
1025	2.83E-007	2.81E-011	3.72E-015	1.03E-015	1.90E-015
2049	1.77E-008	1.76E-012	3.50E-015	1.91E-015	3.76E-015
4097	1.10E-009	1.11E-013	7.95E-015	1.78E-015	2.61E-015
8193	6.91E-011	2.20E-014	1.04E-014	3.02E-015	4.87E-015
16385	4.32E-012	3.27E-014	1.91E-014	1.23E-014	7.98E-015
32769	7.53E-13	2.35E-14	3.68E-14	5.27E-15	5.83E-15
65537	3.05E-13	1.33E-13	7.74E-14	1.24E-14	1.14E-14
131073	1.33E-12	8.97E-14	0.00E+00	0.00E+00	0.00E+00
262145	8.73E-13	1.59E-13	0.00E+00	0.00E+00	0.00E+00
524289	2.64E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1048577	4.24E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2097153	0	0	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
