node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	9.82E-001	9.79E-001	2.56E-002	1.02E-011	8.35E-012
5	1.04E+000	4.60E-001	1.25E-003	6.76E-013	1.29E-011
9	1.24E+000	1.30E+000	7.97E-005	2.11E-013	1.81E-011
17	1.30E+000	6.39E-001	5.01E-006	4.04E-013	4.58E-011
33	9.61E-001	7.66E-001	3.13E-007	9.55E-013	9.27E-011
65	1.27E+000	6.05E-001	1.96E-008	1.67E-012	1.97E-010
129	8.45E-001	9.25E-002	1.22E-009	3.30E-012	3.53E-010
257	1.10E+000	7.14E-003	7.65E-011	6.58E-012	7.27E-010
513	8.15E-001	4.70E-004	4.86E-012	1.38E-011	1.45E-009
1025	1.00E+000	2.98E-005	1.15E-012	2.69E-011	2.90E-009
2049	8.74E-001	1.87E-006	2.15E-012	5.44E-011	5.79E-009
4097	7.13E-001	1.17E-007	4.28E-012	1.08E-010	1.16E-008
8193	3.62E-001	7.30E-009	8.48E-012	2.17E-010	2.32E-008
16385	3.85E-002	4.56E-010	1.71E-011	4.35E-010	4.64E-008
32769	2.73E-03	4.35E-11	3.40E-11	8.64E-10	9.29E-08
65537	1.76E-04	6.61E-11	6.82E-11	1.74E-09	1.85E-07
131073	1.11E-05	1.32E-10	1.36E-10	3.45E-09	3.71E-07
262145	6.96E-07	2.64E-10	2.72E-10	6.94E-09	7.44E-07
524289	4.35E-08	5.28E-10	0	0	0
1048577	2.92E-09	1.06E-09	0	0	0
2097153	2.12E-09	2.11E-09	0	0	0
4194305	4.22E-09	4.22E-09	0	0	0
