||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
9.74E-006	3.11E-004	1.17E-002
3.00E-007	1.91E-005	1.45E-003
9.39E-009	1.19E-006	1.81E-004
2.94E-010	7.46E-008	2.26E-005
9.42E-012	4.66E-009	2.83E-006
8.67E-012	2.92E-010	3.54E-007
3.50E-011	5.83E-011	4.42E-008
1.41E-010	2.23E-010	5.59E-009
5.63E-010	8.92E-010	3.07E-009
2.26E-009	3.57E-009	1.19E-008
9.03E-009	1.43E-008	4.75E-008
3.61E-008	5.72E-008	1.90E-007
1.45E-007	2.29E-007	7.62E-007
5.78E-007	9.15E-007	3.05E-006
2.31E-006	3.66E-006	1.22E-005
4.66E-006	7.38E-006	4.84E-005
3.70E-005	5.86E-005	1.94E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
