node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	6.03E-001	2.13E+000	2.04E-003	2.16E-007	2.17E-011
5	5.62E+002	1.61E-001	2.62E-004	3.01E-008	3.02E-012
9	2.72E+002	5.25E-002	3.31E-005	3.85E-009	3.86E-013
17	1.80E+002	5.30E-003	4.14E-006	4.84E-010	5.23E-014
33	1.45E+001	6.81E-004	5.18E-007	6.06E-011	8.43E-014
65	1.67E-001	8.57E-005	6.48E-008	7.58E-012	3.28E-013
129	1.07E-002	1.07E-005	8.09E-009	1.60E-012	1.30E-012
257	1.33E-003	1.34E-006	1.01E-009	5.23E-012	5.23E-012
513	1.68E-004	1.68E-007	1.28E-010	2.08E-011	2.08E-011
1025	2.11E-005	2.10E-008	8.81E-011	8.35E-011	8.35E-011
2049	2.64E-006	2.64E-009	3.46E-010	3.33E-010	3.33E-010
4097	3.30E-007	1.08E-009	1.38E-009	1.33E-009	1.33E-009
8193	4.13E-008	4.14E-009	5.53E-009	5.32E-009	5.32E-009
16385	7.50E-009	1.67E-008	2.22E-008	2.13E-008	2.14E-008
32769	2.15E-008	6.61E-008	8.83E-008	8.50E-008	8.51E-008
65537	8.65E-008	2.64E-007	3.53E-007	3.40E-007	3.40E-007
131073	3.47E-007	1.06E-006	1.41E-006	1.36E-006	1.36E-006
262145	1.39E-006	4.25E-006	5.66E-006	5.45E-006	5.46E-006
524289	5.79E-006	1.75E-005	2.29E-005	2.21E-005	2.21E-005
1048577	2.24E-005	6.84E-005	9.12E-005	8.79E-005	8.79E-005
