node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	1.71E-003	4.51E-003	2.77E-003	2.87E-010	5.71E-016
5	2.53E-003	2.95E-003	1.37E-004	1.84E-011	3.64E-016
9	1.37E-003	3.04E-003	8.77E-006	1.16E-012	3.79E-016
17	2.24E-004	1.58E-003	5.51E-007	7.23E-014	4.12E-016
33	1.09E-004	3.64E-004	3.45E-008	4.53E-015	8.21E-016
65	2.22E-004	6.58E-006	2.16E-009	1.25E-015	1.16E-015
129	6.12E-005	1.03E-006	1.35E-010	2.09E-015	1.68E-015
257	2.72E-005	8.14E-008	8.43E-012	4.72E-015	2.55E-015
513	1.00E-006	5.40E-009	5.27E-013	1.05E-014	4.74E-015
1025	1.33E-007	3.42E-010	3.30E-014	1.83E-014	1.26E-014
2049	9.54E-007	2.15E-011	8.76E-015	3.85E-014	2.31E-014
4097	1.36E-009	1.35E-012	2.20E-014	8.22E-014	4.76E-014
8193	3.90E-010	1.94E-013	3.04E-014	1.56E-013	8.60E-014
16385	4.33E-011	3.23E-013	5.69E-014	3.07E-013	1.76E-013
32769	3.20E-12	6.53E-13	1.34E-13	6.44E-13	3.62E-13
65537	1.34E-12	1.30E-12	2.72E-13	1.27E-12	7.13E-13
131073	2.63E-12	2.65E-12	5.82E-13	2.62E-12	1.46E-12
262145	5.35E-12	5.32E-12	1.21E-12	5.12E-12	2.93E-12
524289	1.05E-11	1.07E-11	0	0	0
1048577	2.13E-11	2.12E-11	0	0	0
2097153	4.25E-11	0	0	0	0
4194305	8.49E-11	0	0	0	0
