node number	c5=1e-4	c5=1e-2	c5=1e0	c5=1e2	c5=1e4
3	2.10E-016	2.22E-016	2.27E-016	2.34E-016	2.12E-016
5	3.47E-016	3.34E-016	2.50E-016	2.62E-016	3.79E-016
9	3.67E-016	3.75E-016	2.90E-016	3.18E-016	4.07E-016
17	3.27E-016	3.29E-016	3.31E-016	3.35E-016	3.38E-016
33	6.10E-016	6.14E-016	6.37E-016	6.50E-016	6.28E-016
65	5.40E-016	5.33E-016	5.03E-016	4.94E-016	5.17E-016
129	7.76E-016	7.74E-016	8.09E-016	8.05E-016	7.70E-016
257	2.77E-015	2.77E-015	2.72E-015	2.74E-015	2.80E-015
513	1.02E-015	1.02E-015	1.03E-015	1.02E-015	1.01E-015
1025	1.99E-015	1.98E-015	1.99E-015	1.99E-015	1.98E-015
2049	1.83E-014	1.83E-014	1.84E-014	1.84E-014	1.84E-014
4097	3.36E-014	3.36E-014	3.35E-014	3.35E-014	3.36E-014
8193	6.09E-014	6.09E-014	6.10E-014	6.10E-014	6.10E-014
16385	8.17E-014	8.17E-014	8.18E-014	8.18E-014	8.17E-014
32769	2.14E-13	2.14E-13	2.14E-13	2.14E-13	2.14E-13
