||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
9.74E-006	3.11E-004	1.17E-002
3.00E-007	1.91E-005	1.45E-003
9.39E-009	1.19E-006	1.81E-004
2.94E-010	7.46E-008	2.26E-005
9.18E-012	4.66E-009	2.83E-006
1.11E-012	2.91E-010	3.54E-007
4.81E-012	2.37E-011	4.42E-008
1.92E-011	6.05E-011	7.17E-009
7.45E-011	2.35E-010	2.12E-008
3.00E-010	9.47E-010	1.16E-007
1.19E-009	3.74E-009	5.92E-007
4.79E-009	1.51E-008	3.71E-006
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
