||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.55E-004	2.72E-005	1.49E-003
9.89E-006	9.28E-007	9.45E-005
6.21E-007	3.15E-008	5.81E-006
3.88E-008	1.03E-009	3.59E-007
2.43E-009	3.29E-011	2.23E-008
1.52E-010	1.03E-012	1.39E-009
9.48E-012	7.82E-014	8.72E-011
5.93E-013	1.42E-013	5.54E-012
3.70E-014	2.85E-013	7.59E-013
2.33E-015	5.80E-013	9.87E-013
6.61E-016	1.15E-012	1.78E-012
7.49E-016	2.31E-012	3.38E-012
9.97E-016	4.61E-012	6.57E-012
1.62E-015	9.25E-012	1.30E-011
2.19E-015	1.85E-011	2.59E-011
3.86E-015	3.69E-011	5.19E-011
5.31E-015	7.38E-011	1.04E-010
1.01E-014	1.48E-010	2.07E-010
0	0	0
0	0	0
0	0	0
0	0	0
