||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.63E-004	6.99E-002	2.68E+000
1.01E-005	2.08E-003	1.61E-001
6.25E-007	6.34E-005	1.00E-002
3.89E-008	1.94E-006	6.26E-004
2.43E-009	5.94E-008	3.91E-005
1.52E-010	1.83E-009	2.45E-006
9.48E-012	5.69E-011	1.53E-007
5.92E-013	2.04E-012	9.51E-009
3.67E-014	1.01E-012	5.42E-010
8.59E-015	3.00E-012	4.40E-010
2.24E-014	7.23E-012	9.33E-010
3.53E-014	1.20E-011	1.84E-009
6.10E-014	2.24E-011	3.68E-009
1.31E-013	4.80E-011	7.21E-009
2.85E-013	1.01E-010	1.48E-008
5.48E-013	1.99E-010	2.94E-008
1.09E-012	3.91E-010	5.86E-008
2.17E-012	7.82E-010	1.17E-007
0	0	0
0	0	0
0	0	0
0	0	0
