||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
3.70E-001	2.05E+000	2.67E+001
1.96E-001	1.24E+000	2.09E+001
9.72E-002	5.24E-001	2.11E+001
2.86E-003	2.43E-002	6.35E+000
7.22E-006	4.13E-004	2.95E-001
8.63E-008	2.31E-005	3.09E-002
9.89E-010	7.33E-007	1.97E-003
1.53E-011	2.30E-008	1.24E-004
2.42E-013	7.19E-010	7.75E-006
4.78E-015	2.25E-011	4.84E-007
2.80E-015	7.04E-013	3.03E-008
2.36E-015	8.19E-014	1.89E-009
4.28E-015	1.39E-013	1.18E-010
4.23E-015	2.94E-013	1.45E-011
7.66E-015	5.81E-013	2.48E-011
1.76E-014	1.18E-012	4.97E-011
3.50E-014	2.38E-012	9.92E-011
6.86E-014	4.56E-012	1.99E-010
0	0	0
0	0	0
0	0	0
0	0	0
