||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
2.31E-003	2.67E-002	3.86E-001
3.40E-004	6.77E-003	1.97E-001
4.29E-005	1.66E-003	9.87E-002
5.18E-006	4.07E-004	4.92E-002
6.17E-007	1.00E-004	2.46E-002
7.33E-008	2.49E-005	1.23E-002
8.69E-009	6.20E-006	6.13E-003
1.03E-009	1.55E-006	3.06E-003
1.17E-010	3.86E-007	1.53E-003
2.68E-011	9.66E-008	7.66E-004
8.51E-011	2.42E-008	3.83E-004
6.59E-011	6.15E-009	1.91E-004
1.16E-009	2.05E-008	1.36E-004
6.16E-009	1.09E-007	5.93E-004
2.34E-008	4.14E-007	2.34E-003
9.02E-008	1.63E-006	9.32E-003
1.53E-007	2.46E-006	1.41E-002
1.65E-006	2.96E-005	1.70E-001
6.78E-006	1.21E-004	6.98E-001
2.59E-005	4.69E-004	2.70E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
