||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.44E-03	4.73E-04	1.36E-02
1.86E-04	2.92E-05	1.70E-03
2.35E-05	1.83E-06	2.13E-04
2.94E-06	1.14E-07	2.67E-05
3.67E-07	7.14E-09	3.33E-06
4.59E-08	4.46E-10	4.17E-07
5.74E-09	2.79E-11	5.21E-08
7.18E-10	1.74E-12	6.51E-09
8.97E-11	1.10E-13	8.14E-10
1.12E-11	2.60E-14	1.02E-10
1.41E-12	4.62E-14	1.29E-11
3.24E-13	9.07E-14	2.79E-12
5.50E-13	1.86E-13	4.20E-12
1.10E-12	3.63E-13	8.31E-12
2.21E-12	7.42E-13	1.67E-11
4.44E-12	1.46E-12	3.33E-11
8.81E-12	2.95E-12	6.67E-11
1.75E-11	5.89E-12	1.33E-10
3.50E-11	1.18E-11	2.66E-10
7.05E-11	2.35E-11	5.33E-10
