||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.15E-007	1.32E-005
9.88E-006	1.07E-008	8.99E-007
6.21E-007	3.38E-010	5.69E-008
3.88E-008	1.06E-011	3.57E-009
2.43E-009	3.31E-013	2.23E-010
1.52E-010	1.03E-014	1.39E-011
9.48E-012	3.26E-016	8.71E-013
5.93E-013	6.87E-017	5.45E-014
3.73E-014	1.02E-016	4.95E-015
2.41E-015	1.63E-016	7.13E-015
1.54E-015	5.48E-016	1.45E-014
2.83E-015	8.40E-016	2.88E-014
4.26E-015	1.53E-015	5.78E-014
9.12E-015	3.27E-015	1.15E-013
1.18E-014	6.82E-015	2.32E-013
1.47E-014	1.33E-014	4.60E-013
2.73E-014	2.59E-014	9.28E-013
6.07E-014	5.20E-014	1.85E-012
0	0	0
0	0	0
0	0	0
0	0	0
