node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	1.69E+000	1.69E+000	4.33E-002	6.64E-013	5.07E-015
5	1.79E+000	7.94E-001	2.12E-003	4.35E-014	5.71E-015
9	2.15E+000	2.25E+000	1.35E-004	1.42E-014	1.23E-014
17	2.25E+000	1.10E+000	8.49E-006	2.78E-014	2.54E-014
33	1.66E+000	1.32E+000	5.31E-007	5.41E-014	5.21E-014
65	2.19E+000	1.04E+000	3.32E-008	1.14E-013	1.10E-013
129	1.46E+000	1.60E-001	2.08E-009	2.20E-013	2.32E-013
257	1.90E+000	1.23E-002	1.30E-010	4.48E-013	4.39E-013
513	1.40E+000	8.11E-004	8.24E-012	8.95E-013	8.80E-013
1025	1.73E+000	5.13E-005	1.90E-012	1.80E-012	1.75E-012
2049	1.51E+000	3.22E-006	3.61E-012	3.59E-012	3.47E-012
4097	1.23E+000	2.01E-007	7.08E-012	7.17E-012	6.92E-012
8193	6.25E-001	1.26E-008	1.41E-011	1.43E-011	1.38E-011
16385	6.64E-002	7.87E-010	2.86E-011	2.84E-011	2.79E-011
32769	4.71E-03	7.55E-11	5.67E-11	5.71E-11	5.57E-11
65537	3.04E-04	1.15E-10	1.14E-10	1.14E-10	1.12E-10
131073	1.92E-05	2.29E-10	2.29E-10	2.29E-10	2.22E-10
262145	1.20E-06	4.57E-10	4.57E-10	4.60E-10	4.46E-10
524289	7.50E-08	9.19E-10	0	0	0
1048577	5.03E-09	1.84E-09	0	0	0
2097153	3.69E-09	0	0	0	0
4194305	7.31E-09	0	0	0	0
