node number	L=1e-4	L=1e-2	L=1	L=1e2	L=1e4
3	9.65E+000	1.95E+002	4.09E-001	4.49E-005	4.50E-009
5	1.25E+004	1.81E+002	2.11E-001	2.43E-005	2.44E-009
9	8.54E+003	1.54E+002	1.06E-001	1.24E-005	1.24E-009
17	1.46E+004	6.80E+001	5.32E-002	6.23E-006	6.24E-010
33	2.05E+004	3.50E+001	2.66E-002	3.12E-006	3.12E-010
65	1.73E+004	1.76E+001	1.33E-002	1.56E-006	1.56E-010
129	8.67E+003	8.83E+000	6.66E-003	7.79E-007	8.26E-011
257	4.37E+003	4.42E+000	3.33E-003	3.90E-007	1.14E-010
513	2.21E+003	2.21E+000	1.66E-003	1.95E-007	4.11E-010
1025	1.11E+003	1.10E+000	8.32E-004	9.74E-008	1.67E-009
2049	5.55E+002	5.52E-001	4.16E-004	4.92E-008	6.68E-009
4097	2.78E+002	2.76E-001	2.08E-004	3.60E-008	2.71E-008
8193	1.39E+002	1.38E-001	1.04E-004	1.07E-007	1.13E-007
16385	6.94E+001	6.90E-002	5.20E-005	4.25E-007	3.50E-007
32769	3.47E+001	3.45E-002	2.61E-005	1.71E-006	1.94E-006
65537	1.74E+001	1.73E-002	1.46E-005	6.75E-006	7.01E-006
131073	8.68E+000	8.63E-003	2.73E-005	2.73E-005	2.23E-005
262145	4.34E+000	4.32E-003	1.06E-004	1.11E-004	9.38E-005
524289	2.17E+000	2.23E-003	4.23E-004	4.32E-004	4.17E-004
1048577	1.09E+000	2.48E-003	1.69E-003	1.58E-003	1.57E-003
2097153	5.43E-001	8.95E-003	0	0	0
4194305	2.73E-001	3.57E-002	0	0	0
8388609	1.89E-001	1.43E-001	0	0	0
16777217	5.35E-001	0	0	0	0
33554433	2.16E+000	0	0	0	0
