||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.07E-005	1.31E-003
9.89E-006	1.06E-006	8.98E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.04E-012	1.39E-009
9.48E-012	7.96E-014	8.71E-011
5.93E-013	1.43E-013	5.45E-012
3.72E-014	2.89E-013	5.39E-013
2.46E-015	5.79E-013	8.13E-013
1.46E-015	1.16E-012	1.61E-012
3.00E-015	2.31E-012	3.27E-012
4.18E-015	4.62E-012	6.51E-012
5.82E-015	9.24E-012	1.30E-011
1.16E-014	1.85E-011	2.61E-011
1.55E-014	3.70E-011	5.19E-011
2.70E-014	7.39E-011	1.04E-010
6.31E-014	1.48E-010	2.08E-010
0	0	0
0	0	0
0	0	0
0	0	0
