node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	6.77E+002	7.89E+000	2.61E-003	3.84E-007	3.86E-011
5	4.53E+002	5.33E+000	1.79E-004	2.40E-008	2.41E-012
9	1.48E+002	5.05E-001	1.14E-005	1.50E-009	1.51E-013
17	1.32E+002	4.17E-002	7.13E-007	9.36E-011	3.20E-014
33	6.07E+001	2.89E-003	4.46E-008	5.85E-012	7.02E-014
65	1.51E+001	1.83E-004	2.79E-009	3.85E-013	1.15E-013
129	5.70E-001	1.14E-005	1.74E-010	2.11E-013	2.25E-013
257	7.04E-002	7.16E-007	1.09E-011	4.64E-013	4.68E-013
513	4.48E-003	4.48E-008	1.14E-012	8.75E-013	8.92E-013
1025	2.81E-004	2.80E-009	1.79E-012	1.79E-012	1.80E-012
2049	1.76E-005	1.75E-010	3.59E-012	3.57E-012	3.57E-012
4097	1.10E-006	1.31E-011	7.22E-012	7.10E-012	7.20E-012
8193	6.87E-008	1.44E-011	1.43E-011	1.43E-011	1.44E-011
16385	4.30E-009	2.90E-011	2.87E-011	2.86E-011	2.87E-011
32769	2.74E-10	5.81E-11	5.74E-11	5.72E-11	5.73E-11
65537	1.18E-10	1.15E-10	1.15E-10	1.14E-10	1.14E-10
131073	2.31E-10	2.30E-10	2.30E-10	2.29E-10	2.29E-10
262145	4.64E-10	4.61E-10	4.59E-10	4.58E-10	4.58E-10
524289	9.28E-10	9.22E-10	9.17E-10	9.14E-10	9.16E-10
1048577	1.85E-09	1.84E-09	1.84E-09	1.83E-09	1.83E-09
2097153	0	0	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
