node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	8.90E+002	5.48E+001	2.32E-001	6.58E-007	6.38E-013
5	4.19E+002	7.01E+001	1.13E-002	4.19E-008	4.28E-014
9	1.18E+003	3.49E+001	7.24E-004	2.63E-009	1.66E-014
17	5.81E+002	3.82E+000	4.55E-005	1.65E-010	2.78E-014
33	6.97E+002	2.73E-001	2.85E-006	1.03E-011	5.25E-014
65	5.50E+002	1.76E-002	1.78E-007	6.75E-013	1.16E-013
129	8.41E+001	1.11E-003	1.11E-008	2.42E-013	2.21E-013
257	6.49E+000	6.95E-005	6.96E-010	4.42E-013	4.42E-013
513	4.27E-001	4.35E-006	4.35E-011	8.87E-013	8.70E-013
1025	2.71E-002	2.72E-007	3.26E-012	1.79E-012	1.76E-012
2049	1.70E-003	1.70E-008	3.72E-012	3.51E-012	3.46E-012
4097	1.06E-004	1.06E-009	7.33E-012	7.09E-012	6.98E-012
8193	6.63E-006	6.79E-011	1.46E-011	1.42E-011	1.39E-011
16385	4.15E-007	2.97E-011	2.93E-011	2.82E-011	2.77E-011
32769	2.59E-08	5.87E-11	5.89E-11	5.70E-11	5.59E-11
65537	1.62E-09	1.17E-10	1.17E-10	1.14E-10	1.11E-10
131073	2.66E-10	2.35E-10	2.34E-10	2.28E-10	2.24E-10
262145	4.76E-10	4.69E-10	4.70E-10	4.54E-10	4.46E-10
524289	9.45E-10	9.36E-10	9.36E-10	9.08E-10	8.86E-10
1048577	1.88E-09	1.88E-09	1.88E-09	1.82E-09	1.78E-09
2097153	0	0	0	0	0
4194305	0	0	0	0	0
8388609	0	0	0	0	0
