||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
7.23E+000	2.25E+001	3.32E+002
1.87E+000	7.44E+000	3.25E+002
5.70E+000	1.76E+001	2.36E+002
2.30E+000	6.96E+000	3.01E+002
4.20E+000	1.27E+001	2.34E+002
9.01E-002	6.73E-001	2.65E+002
4.98E-003	5.00E-002	1.07E+002
4.23E-005	2.06E-003	1.05E+001
1.79E-007	6.94E-005	7.39E-001
8.65E-010	2.21E-006	4.75E-002
6.51E-012	6.93E-008	2.99E-003
9.06E-014	2.17E-009	1.87E-004
3.79E-015	6.78E-011	1.17E-005
6.63E-015	2.14E-012	7.31E-007
7.56E-015	5.68E-013	4.57E-008
1.72E-014	1.16E-012	2.86E-009
2.35E-014	2.35E-012	2.04E-010
6.07E-014	4.62E-012	1.99E-010
0	0	0
0	0	0
0	0	0
0	0	0
