node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	9.93E+003	3.08E+002	3.47E-002	2.66E-008	2.64E-014
5	7.89E+003	5.88E+001	8.28E-004	8.49E-010	1.32E-015
9	9.96E+003	1.46E+001	2.63E-005	2.67E-011	2.07E-015
17	4.66E+003	7.16E-001	8.26E-007	8.34E-013	3.35E-015
33	1.57E+003	2.49E-002	2.58E-008	2.72E-014	8.51E-015
65	3.13E+002	8.01E-004	8.08E-010	1.63E-014	1.67E-014
129	2.01E+001	2.52E-005	2.52E-011	3.19E-014	3.56E-014
257	7.46E-001	7.89E-007	7.92E-013	6.22E-014	6.83E-014
513	2.43E-002	2.47E-008	1.40E-013	1.26E-013	1.31E-013
1025	7.68E-004	7.70E-010	2.95E-013	2.57E-013	2.66E-013
2049	2.41E-005	2.40E-011	5.82E-013	4.91E-013	5.41E-013
4097	7.52E-007	1.28E-012	1.14E-012	1.01E-012	1.07E-012
8193	2.35E-008	2.18E-012	2.32E-012	2.02E-012	2.18E-012
16385	7.32E-010	4.36E-012	4.55E-012	4.03E-012	4.33E-012
32769	2.51E-11	8.88E-12	9.18E-12	8.01E-12	8.67E-12
65537	3.05E-11	1.79E-11	1.85E-11	1.61E-11	1.74E-11
131073	4.34E-11	3.56E-11	3.70E-11	3.22E-11	3.47E-11
262145	8.46E-11	7.13E-11	7.43E-11	6.42E-11	6.94E-11
